# These data are from NREL modeled from REV. Link to data here https://www.nrel.gov/gis/wind-supply-curves.html,,,,,,,,
Grid,latitude,longitude,area_sq_km,capacity_mw,generation_mwh,capacity_factor,wind_speed_120meters,distance_to_transmission_km
32814,38.66899872,-90.15699768,2.3976,7.1928,22868.15509,0.362935156,6.724702358,0.041277162
41346,36.14899826,-95.92199707,2.2437,6.7311,25669.58033,0.435340047,7.571969509,0.058770747
32813,38.67499924,-90.29799652,0.513590625,1.540771875,4992.873453,0.369920254,6.806531906,0.047453649
10713,45.38000107,-92.15599823,41.9904,125.9712,476072.6973,0.431417644,7.490104675,0.055366381
4703,47.57400131,-95.41899872,38.9448,116.8344,484907.3341,0.473787844,8.033649445,0.076004982
22876,41.50699997,-88.1289978,14.7906,44.3718,161993.4517,0.416760266,7.320241928,0.083575245
57913,27.45299911,-99.41899872,62.4024,187.2072,714561.6924,0.4357256,7.500779152,0.14339232
56170,30.11100006,-96.4260025,66.1284,198.3852,689813.0696,0.396933764,7.077887535,0.152988581
51155,32.68799973,-97.47100067,60.2964,180.8892,711566.2564,0.449054033,7.751878738,0.176600167
21132,42.21099854,-95.76599884,111.5856,334.7568,1373180.457,0.46826759,7.99552536,0.176060603
57581,28.3029995,-97.26699829,63.342,190.026,654656.7182,0.393275142,7.080618382,0.158452265
55522,29.73500061,-81.63300323,14.7096,44.1288,111537.6626,0.288532883,6.023020267,0.111032666
21513,41.87099838,-87.63800049,0.88441875,2.65325625,9374.725408,0.403343678,7.302400589,0.123769424
20152,42.50400162,-96.36100006,54.9504,164.8512,683901.1693,0.473584116,8.061588287,0.210419622
58099,25.77099991,-80.19499969,0.101819531,0.305458594,737.2165276,0.275510788,6.032689095,0.129465855
27369,39.08300018,-76.56300354,13.9158,41.7474,132705.0442,0.362872362,6.745372772,0.126798686
34887,38.09700012,-97.8690033,42.5736,127.7208,560621.7509,0.501076698,8.514565468,0.29458826
15976,43.36000061,-85.0019989,61.8516,185.5548,725849.6393,0.44655028,7.713767052,0.233874041
32462,38.88600159,-94.65000153,12.9276,38.7828,157650.7111,0.464037061,8.047451019,0.286507099
55242,30.70899963,-96.42900085,59.6808,179.0424,618308.7252,0.394226104,7.036575317,0.223214727
16643,42.95299911,-82.5,13.8105,41.4315,150578.6991,0.414885998,7.278983593,0.22998433
58209,26.17300034,-98.06199646,43.2216,129.6648,496450.652,0.43706888,7.448882103,0.255241569
801,47.24900055,-122.2360001,10.4895,31.4685,61699.05621,0.223819733,4.937417984,0.134022647
