"# Units: NA, MW, NA, Year, NA, kwh, mmbtu, (metric) tonne CO2, ",,,,,,,
name,capacity,primary_fuel,commissioning_year,state,generation,fuel_consumption,emissions
1515 s caron road,4.2,Gas,2000,IL,24000,394,20.90976969
191 peachtree tower,2.4,Oil,1991,GA,0,28,2.048498584
491 e 48th street,161.7,Gas,1996.131107,MI,21103000,262600,13936.30843
500mw cc,528,Gas,2006,NY,2446465000,18679059,997255.0758
59th street,17.1,Gas,1969,NY,119000,1829,97.06591057
74th street,37,Oil,1968,NY,316000,4820,348.4891614
a b brown,706.8,Coal,1985.994058,IN,2469960000,27491118,2543326.425
a l pierce,84,Gas,2007,CT,1958000,27458,1561.497416
aes corp,454.3,Coal,,,,,
abc coke,3.8,Gas,1997,AL,373892,1934,9360.306165
ac landfill energy llc,5.4,Waste,2005,,,,
ads renewable energywolf creek llc,2.8,Waste,2011,,,,
aes alamitos llc,1922,Gas,1962.652445,CA,581118000,8072068,428388.535
aes hawaii,203,Coal,1992,HI,1317325000,14346812,1392267.97
aes huntington beach llc,436,Gas,1958.5,CA,221671000,2822710,149802.5787
aes petersburg,2154.8,Coal,1976.75775,IN,8755391000,93392370,8708619.573
aes redondo beach llc,1316.4,Gas,1964.148587,CA,195943000,3102129,164631.4795
aes shady point llc,350,Coal,1990,,,,
aes warrior run cogeneration facility,229,Coal,1999,MD,1103810000,9847324,1181674.718
al sandersville llc,692,Gas,2002,GA,93046000,835739,44353.07109
amea peaking,98.6,Gas,2004,AL,53719000,539076,28609.02286
anp bellingham energy project,578,Gas,2002.5,MA,1799773000,14165392,751764.1733
anp blackstone energy project,578,Gas,2001,MA,1672360000,12935883,686513.5388
apg combined heat and power plant,7.9,Gas,2017,MD,55309000,661816,45419.52651
att anaheim,1.3,Gas,2016,CA,9424000,77612,4118.906206
att holger,1.3,Gas,2016,CA,9878000,81431,4321.582375
aberdeen ct,111,Gas,2003.918919,SD,43908000,465184,24739.09025
acadia energy center,1389.2,Gas,2002,LA,5191750374,38847219,2061640.615
ada cogeneration lp,33.1,Gas,1990,MI,137129000,1094538,81325.04656
adkins energy llc,5,Gas,2002,IL,36014000,155541,39618.22888
adobe san jose,1.2,Gas,2010,CA,8338000,74638,3961.074594
adrian,2,Oil,2005,MN,91000,836,61.16231486
adrian energy associates llc,2.4,Waste,1995,,,,
aera san ardo cogen facility,6.2,Gas,1989,CA,47904000,244987,36738.19999
afton generating station,287,Gas,2003.916376,NM,878017000,6752799,358374.2941
