Plant Code,Plant Name,Prime Mover,Energy Source 1,Operating Year,Nameplate Capacity (MW)
61902.0,Holtsville Solar Project,PV,SUN,2017,1
61901.0,Redstone Arsenal,PV,SUN,2017,11
61898.0,Solean Solar Project,PV,SUN,2016,4
61895.0,Toyota HQ Plan,PV,SUN,2017,7
61894.0,National Raisin,PV,SUN,2015,2
61893.0,BNB Camden Solar,PV,SUN,2017,3
61890.0,NRG Chalk Point CT,GT,NG,1990,94
61884.0,Kearney NPPD Solar Project,PV,SUN,2017,5
61869.0,Scenic Hill Solar III,PV,SUN,2017,5
61864.0,"Dix Solar, L.L.C",PV,SUN,2017,13
61857.0,Toray Plastic America's CHP Plant,IC,NG,2003,19
61853.0,Jordanelle Dam Hydroelectric Project,HY,WAT,2008,12
61851.0,Campbell Industrial Park BESS,BA,MWH,2016,1
61850.0,Amana Society Service Company,IC,DFO,2001,12
61848.0,"PYCO Industries, Inc. Wind Farm",WT,WND,2008,10
61839.0,FECC Solar Benton,PV,SUN,2017,1
61838.0,Cleveland Thermal,ST,NG,2017,0
61835.0,Grand Ronde Solar,PV,SUN,2017,2
61834.0,Soboba Community Solar Project,PV,SUN,2016,1
61833.0,Freedom Solar,PV,SUN,2017,5
61832.0,Interstate Solar,PV,SUN,2017,2
61831.0,Colton Solar,PV,SUN,2017,2
61830.0,Sheep Solar,PV,SUN,2017,2
61829.0,Silverton Solar,PV,SUN,2017,2
61828.0,Valley Creek Solar,PV,SUN,2017,2
61827.0,Dayton Cutoff Solar,PV,SUN,2017,2
61826.0,O'Fallon Renewable Energy Center,PV,SUN,2014,4
61822.0,"Princeton Energy Center, LLC",IC,DFO,2012,10
61821.0,IKEA Jacksonville Rooftop PV System,PV,SUN,2017,1
61820.0,IKEA New Haven Rooftop PV &  Fuel Cell,FC,NG,2012,0
61819.0,IKEA Conshohocken Rooftop PV System,PV,SUN,2013,1
61815.0,Kearsarge Granby,PV,SUN,2017,0
61814.0,Kearsarge Concord II,PV,SUN,2017,4
61813.0,"Ranchland Solar, LLC",PV,SUN,2017,60
61804.0,City of Rochester Solar,PV,SUN,2017,1
61798.0,Prairie Sky Solar Farm,PV,SUN,2017,1
61788.0,Hilltop Power,WT,WND,2008,2
61780.0,Seminole Energy,IC,LFG,2007,4
61779.0,Hernando,IC,LFG,2010,1
61777.0,Brevard,IC,LFG,2008,6
61774.0,"Syncarpha Still River, LLC",PV,SUN,2016,2
61771.0,Syncarpha Hancock III CSG,PV,SUN,2017,1
61770.0,Syncarpha Hancock II CSG,PV,SUN,2017,2
61769.0,Syncarpha Hancock I CSG,PV,SUN,2017,2
61765.0,HGS Solar I,PV,SUN,2016,2
61764.0,Gore Mountain Solar II,PV,SUN,2016,2
61761.0,Douglas County Forest Products,ST,WDS,2006,6
61758.0,Gaston County Renewable Energy Center,IC,LFG,2011,3
61755.0,"East Acres Solar NG, LLC",PV,SUN,2017,5
61748.0,"Southern Current One, LLC",PV,SUN,2017,10
61744.0,L'Oreal Solar - Florence,PV,SUN,2017,1
61742.0,System Control Center,FW,MWH,2012,4
61739.0,Lockheed Martin RMS Syracuse,BA,MWH,2017,1
61738.0,GWCC PV Solar Farm,PV,SUN,2015,1
61737.0,Navy Yard Peaker Station,IC,NG,2017,6
61734.0,Seneca Nation Cattaraugus Wind Turbine,WT,WND,2017,1
61733.0,Haywood Solar,PV,SUN,2017,3
61732.0,Randolph,PV,SUN,2017,3
61731.0,"Solten Plainville 6000, LLC",PV,SUN,2017,4
61728.0,Barrett Farm Solar - Phase I,PV,SUN,2017,1
61727.0,Onyx - Brockton Thatcher Landfill Solar,PV,SUN,2017,3
